W;B;E;S;Bewerkingstype;RE_FO_a_WBE [m3 aardgas];RE_FO_b_WBSE [m3 aardgas];FVrvKC_mean_SJV [m3 aardgas];FVrvKC sd_SJV [m3 aardgas];OP_mean [m2];Se (stdv residuals);Sse;t a/2;Count
1;0;0;A+;3;4.5690121;732.7588759;1527.2735293;646.5009202;173.8920000;689.4190340;2030714.1680000;1.9647294;0.0000000
1;0;0;A;0;4.5690121;732.7588759;1527.2735293;646.5009202;173.8920000;689.4190340;2030714.1680000;1.9647294;500.0000000
1;0;0;B;0;4.5690121;828.4131913;1623.1876553;649.0427669;173.9488636;689.2182593;2630360.1590909;1.9633442;704.0000000
1;0;0;C;0;4.5690121;909.2685559;1695.1563021;680.3126911;172.0038660;688.9500214;5378393.9768041;1.9614947;1552.0000000
1;0;0;D;0;4.5690121;987.1558358;1731.9376246;674.7130887;163.0071822;688.7805239;23316630.6624389;1.9603266;6544.0000000
1;0;0;E;0;4.5690121;1031.6539557;1810.4260873;692.4246716;170.4465021;688.9643600;5691900.3271605;1.9615935;1458.0000000
1;0;0;F;0;4.5690121;1108.3910868;1848.6298085;684.6871480;162.0128606;688.7877529;20347927.0483142;1.9603764;5754.0000000
1;0;0;G;0;4.5690121;1068.5953799;1797.6687223;704.0224379;159.5691421;688.7593868;41090193.2285531;1.9601810;10934.0000000
1;0;1;A+;3;4.1341344;987.6288698;1618.8226089;713.3006237;152.6785714;729.9634516;425496.4285714;1.9815668;0.0000000
1;0;1;A;3;4.1341344;987.6288698;1618.8226089;713.3006237;152.6785714;729.9634516;425496.4285714;1.9815668;0.0000000
1;0;1;B;3;4.1341344;987.6288698;1618.8226089;713.3006237;152.6785714;729.9634516;425496.4285714;1.9815668;0.0000000
1;0;1;C;3;4.1341344;987.6288698;1618.8226089;713.3006237;152.6785714;729.9634516;425496.4285714;1.9815668;0.0000000
1;0;1;D;0;4.134134432;987.6288698;1618.822609;713.3006237;152.6785714;729.9634516;425496.4286;1.981566757;112
1;0;1;E;1;4.134134432;1158.361433;1798.247499;719.1888496;154.7811462;729.7433139;524513.8422;1.980118803;0
1;0;1;F;0;4.134134432;1329.093996;1977.672388;725.0770754;156.8837209;729.5231763;623531.2558;1.97867085;129
1;0;1;G;0;4.134134432;1188.784984;1799.366016;712.4280913;147.6925926;727.3429171;1951422.97;1.964374962;540
1;0;2;A+;5;4.569012107;732.7588759;1527.273529;646.5009202;173.892;689.419034;2030714.168;1.964729391;0
1;0;2;A;5;4.569012107;732.7588759;1527.273529;646.5009202;173.892;689.419034;2030714.168;1.964729391;0
